Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint,Complaint Detail,Incident Zip,Status,Community Board,Borough,Latitude,Longitude,Complaint Year,Complaint Month,Month Name,Main Complaint Category,Neighborhood
67346415,,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10027,Closed,10 MANHATTAN,MANHATTAN,40.81157162558579,-73.9466470174785,,,,Noise,Harlem (North)
67348253,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10024,Closed,07 MANHATTAN,MANHATTAN,40.78644604289875,-73.9801207044641,,,,Noise,Upper West Side (Central)
67351748,,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11206,Closed,03 BROOKLYN,BROOKLYN,40.69635569622582,-73.94725491293381,,,,Noise,Bedford-Stuyvesant (West)
67352979,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11234,Closed,18 BROOKLYN,BROOKLYN,40.618495144978134,-73.92391752547981,,,,Noise,Flatlands
67345656,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11368,Closed,03 QUEENS,QUEENS,40.75469396086868,-73.86006660121504,,,,Parking & Traffic,North Corona
67348032,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11212,Closed,17 BROOKLYN,BROOKLYN,40.663234146420166,-73.92656984612077,,,,Parking & Traffic,East Flatbush-Remsen Village
67348200,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10310,Closed,01 STATEN ISLAND,STATEN ISLAND,40.63648348571552,-74.12446274093942,,,,Noise,Port Richmond
67344307,,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11364,Closed,11 QUEENS,QUEENS,40.75236097485384,-73.76284069563494,,,,Parking & Traffic,Bayside
67344396,,,NYPD,New York City Police Department,Blocked Driveway,No Access,10468,Closed,07 BRONX,BRONX,40.86148319808526,-73.90976075448698,,,,Parking & Traffic,University Heights (North)-Fordham
67344438,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11203,Closed,17 BROOKLYN,BROOKLYN,40.65657274685624,-73.9313093689244,,,,Parking & Traffic,East Flatbush-Rugby
67345870,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10009,Closed,03 MANHATTAN,MANHATTAN,40.724850622846375,-73.97696060916273,,,,Noise,East Village
67345869,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10031,Closed,09 MANHATTAN,MANHATTAN,40.825287821475726,-73.9426650656095,,,,Noise,Hamilton Heights-Sugar Hill
67348270,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10032,Closed,12 MANHATTAN,MANHATTAN,40.84250512281571,-73.93687476944211,,,,Noise,Washington Heights (South)
67344652,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11210,Closed,14 BROOKLYN,BROOKLYN,40.635164891621685,-73.95012798946212,,,,Noise,Flatbush
67353517,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11373,Closed,04 QUEENS,QUEENS,40.744398792815254,-73.8697635778764,,,,Parking & Traffic,Elmhurst
67347594,,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11367,Closed,08 QUEENS,QUEENS,40.71879155606901,-73.81986091621063,,,,Noise,Kew Gardens Hills
67344286,,,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11236,Closed,17 BROOKLYN,BROOKLYN,40.65092635158809,-73.91815049866891,,,,Parking & Traffic,East Flatbush-Remsen Village
67352933,,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10459,Closed,02 BRONX,BRONX,40.82063662196181,-73.89387201026959,,,,Noise,Longwood
67351819,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10044,Closed,08 MANHATTAN,MANHATTAN,40.762925111426675,-73.94914791011388,,,,Noise,Upper East Side-Lenox Hill-Roosevelt Island
67347964,,,NYPD,New York City Police Department,Noise - Residential,Loud Television,11213,Closed,08 BROOKLYN,BROOKLYN,40.67303973721813,-73.94333309279837,,,,Noise,Crown Heights (North)
67348260,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11220,Closed,07 BROOKLYN,BROOKLYN,40.64588845452733,-74.00590257752685,,,,Noise,Sunset Park (Central)
67352985,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11378,Closed,05 QUEENS,QUEENS,40.716652863762285,-73.90751105695132,,,,Noise,Maspeth
